time;status;gx;gy;gz;ax;ay;az
2022-12-01T08:35:49.425;77;0.33578559;0.76513672;-1.62202691;3.55117798;5.39657593;7.83706665
2022-12-01T08:35:49.435;77;0.32394748;0.76194661;-1.66618924;3.46481323;5.47180176;7.92083740
2022-12-01T08:35:49.445;77;0.32620443;0.76437717;-1.71285807;3.35922241;5.50643921;8.00872803
2022-12-01T08:35:49.455;77;0.34510634;0.78031684;-1.75944010;3.19259644;5.51956177;8.03863525
2022-12-01T08:35:49.465;77;0.37331814;0.81029731;-1.81411675;3.04962158;5.54824829;8.01620483
2022-12-01T08:35:49.475;77;0.40275608;0.84352214;-1.87917752;2.87475586;5.58517456;7.94097900
2022-12-01T08:35:49.485;77;0.42782118;0.87314453;-1.95001085;2.68463135;5.60729980;7.86819458
2022-12-01T08:35:49.495;77;0.43997396;0.89825304;-2.02361111;2.45819092;5.65994263;7.75283813
2022-12-01T08:35:49.505;77;0.43191189;0.92496745;-2.09483507;2.19650269;5.72280884;7.65518188
2022-12-01T08:35:49.515;77;0.40413411;0.94461806;-2.16222873;1.92642212;5.76278687;7.56271362
2022-12-01T08:35:49.525;77;0.36354167;0.94807943;-2.22213542;1.64901733;5.84045410;7.52090454
2022-12-01T08:35:49.535;77;0.31969401;0.93847656;-2.27304688;1.36810303;5.88653564;7.50839233
2022-12-01T08:35:49.545;77;0.27476128;0.93036024;-2.31707899;1.07711792;5.87310791;7.52166748
2022-12-01T08:35:49.555;77;0.23070747;0.93097873;-2.36289063;0.85983276;5.84060669;7.56408691
2022-12-01T08:35:49.565;77;0.18732639;0.93751085;-2.41541884;0.65246582;5.76995850;7.57461548
2022-12-01T08:35:49.575;77;0.14364149;0.94611545;-2.46566840;0.44097900;5.72418213;7.57781982
2022-12-01T08:35:49.585;77;0.09865451;0.94792752;-2.50417752;0.19866943;5.71166992;7.54608154
2022-12-01T08:35:49.595;77;0.05096571;0.93772786;-2.52659505;-0.05905151;5.67596436;7.45285034
2022-12-01T08:35:49.605;77;0.00482856;0.91268446;-2.53473307;-0.33050537;5.66146851;7.36160278
2022-12-01T08:35:49.615;77;-0.05212674;0.87851563;-2.52878689;-0.58898926;5.59890747;7.38891602
2022-12-01T08:35:49.625;77;-0.10711806;0.84014757;-2.51236979;-0.80017090;5.52764893;7.41226196
2022-12-01T08:35:49.635;77;-0.16181641;0.80406901;-2.49843750;-0.97824097;5.48904419;7.35321045
2022-12-01T08:35:49.645;77;-0.21891276;0.76500651;-2.48087023;-1.15158081;5.41885376;7.27661133
2022-12-01T08:35:49.655;77;-0.27666016;0.72815755;-2.45627170;-1.31683350;5.34606934;7.31567383
2022-12-01T08:35:49.665;77;-0.33490668;0.70610894;-2.43573134;-1.47598267;5.33477783;7.36907959
2022-12-01T08:35:49.675;77;-0.38459201;0.69470486;-2.43178168;-1.62139893;5.31082153;7.46353149
2022-12-01T08:35:49.685;77;-0.41998698;0.70123698;-2.44918620;-1.87759399;5.29113770;7.64816284
2022-12-01T08:35:49.695;77;-0.44835069;0.71611328;-2.49883898;-2.11456299;5.27618408;7.73483276
2022-12-01T08:35:49.705;77;-0.46302083;0.72837457;-2.55879991;-2.33657837;5.20339966;7.74978638
2022-12-01T08:35:49.715;77;-0.46217448;0.73088108;-2.60124783;-2.49176025;5.08102417;7.78503418
2022-12-01T08:35:49.725;77;-0.46440972;0.71716580;-2.62392578;-2.58255005;4.91424561;7.78060913
2022-12-01T08:35:49.735;77;-0.48133681;0.69838325;-2.63079427;-2.67883301;4.70245361;7.71514893
2022-12-01T08:35:49.745;77;-0.51296658;0.66639540;-2.62681207;-2.87124634;4.50363159;7.58026123
2022-12-01T08:35:49.755;77;-0.55773655;0.61933594;-2.61504991;-3.14697266;4.24057007;7.46536255
2022-12-01T08:35:49.765;77;-0.60553385;0.55926649;-2.59879557;-3.36578369;4.01855469;7.36877441
